diseaseId	diseaseName	drugId	drugName	type	mechanismOfAction	actionType	symbol	name	phase	status	source
EFO_0000222	acute myeloid leukemia	CHEMBL1201506	GEMTUZUMAB OZOGAMICIN	Antibody drug conjugate	Myeloid cell surface antigen CD33 binding agent	Binding agent	CD33	CD33 molecule	4	Completed	https://clinicaltrials.gov/study/NCT01041040,https://clinicaltrials.gov/study/NCT00304447
EFO_0000222	acute myeloid leukemia	CHEMBL608533	MIDOSTAURIN	Small molecule	Protein kinase C (PKC) inhibitor		PRKCQ	protein kinase C theta	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/207997s000lbl.pdf
EFO_0000222	acute myeloid leukemia	CHEMBL608533	MIDOSTAURIN	Small molecule	Platelet-derived growth factor receptor inhibitor		PDGFRB	platelet derived growth factor receptor beta	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/207997s000lbl.pdf
EFO_0000222	acute myeloid leukemia	CHEMBL608533	MIDOSTAURIN	Small molecule	Protein kinase C (PKC) inhibitor		PRKCG	protein kinase C gamma	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/207997s000lbl.pdf
EFO_0000222	acute myeloid leukemia	CHEMBL608533	MIDOSTAURIN	Small molecule	Platelet-derived growth factor receptor inhibitor		PDGFRA	platelet derived growth factor receptor alpha	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/207997s000lbl.pdf
EFO_0000222	acute myeloid leukemia	CHEMBL608533	MIDOSTAURIN	Small molecule	Protein kinase C (PKC) inhibitor		PRKCA	protein kinase C alpha	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/207997s000lbl.pdf
EFO_0000222	acute myeloid leukemia	CHEMBL608533	MIDOSTAURIN	Small molecule	Protein kinase C (PKC) inhibitor		PRKCE	protein kinase C epsilon	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/207997s000lbl.pdf
EFO_0000222	acute myeloid leukemia	CHEMBL1489	AZACITIDINE	Small molecule	DNA (cytosine-5)-methyltransferase 1 inhibitor		DNMT1	DNA methyltransferase 1	4		https://www.ema.europa.eu/en/medicines/human/EPAR/azacitidine-accord
EFO_0000222	acute myeloid leukemia	CHEMBL1489	AZACITIDINE	Small molecule	DNA (cytosine-5)-methyltransferase 3A inhibitor		DNMT3A	DNA methyltransferase 3 alpha	4	Not yet recruiting	https://clinicaltrials.gov/study/NCT06370000
EFO_0000222	acute myeloid leukemia	CHEMBL1489	AZACITIDINE	Small molecule	DNA (cytosine-5)-methyltransferase 1 inhibitor		DNMT1	DNA methyltransferase 1	4	Not yet recruiting	https://clinicaltrials.gov/study/NCT06370000
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLD1	DNA polymerase delta 1, catalytic subunit	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/209401s000lbl.pdf
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLD3	DNA polymerase delta 3, accessory subunit	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/209401s000lbl.pdf
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		PRIM2	DNA primase subunit 2	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/209401s000lbl.pdf
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLE	DNA polymerase epsilon, catalytic subunit	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/209401s000lbl.pdf
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLA2	DNA polymerase alpha 2, accessory subunit	4	Active, not recruiting	https://clinicaltrials.gov/study/NCT03026842
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLE2	DNA polymerase epsilon 2, accessory subunit	4	Active, not recruiting	https://clinicaltrials.gov/study/NCT03026842
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLD2	DNA polymerase delta 2, accessory subunit	4	Active, not recruiting	https://clinicaltrials.gov/study/NCT03026842
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		PRIM2	DNA primase subunit 2	4	Active, not recruiting	https://clinicaltrials.gov/study/NCT03026842
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLD4	DNA polymerase delta 4, accessory subunit	4	Active, not recruiting	https://clinicaltrials.gov/study/NCT03026842
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLD1	DNA polymerase delta 1, catalytic subunit	4	Completed	https://clinicaltrials.gov/study/NCT00487448,https://clinicaltrials.gov/study/NCT00488709,https://clinicaltrials.gov/study/NCT00180167,https://clinicaltrials.gov/study/NCT00180102,https://clinicaltrials.gov/study/NCT00464217,https://clinicaltrials.gov/study/NCT00180115
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLD3	DNA polymerase delta 3, accessory subunit	4	Completed	https://clinicaltrials.gov/study/NCT00488709,https://clinicaltrials.gov/study/NCT00180167,https://clinicaltrials.gov/study/NCT00487448,https://clinicaltrials.gov/study/NCT00464217,https://clinicaltrials.gov/study/NCT00180102,https://clinicaltrials.gov/study/NCT00180115
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLE2	DNA polymerase epsilon 2, accessory subunit	4	Completed	https://clinicaltrials.gov/study/NCT00180115,https://clinicaltrials.gov/study/NCT00464217,https://clinicaltrials.gov/study/NCT00180167,https://clinicaltrials.gov/study/NCT00487448,https://clinicaltrials.gov/study/NCT00180102,https://clinicaltrials.gov/study/NCT00488709
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLA1	DNA polymerase alpha 1, catalytic subunit	4	Completed	https://clinicaltrials.gov/study/NCT00464217,https://clinicaltrials.gov/study/NCT00180102,https://clinicaltrials.gov/study/NCT00488709,https://clinicaltrials.gov/study/NCT00180115,https://clinicaltrials.gov/study/NCT00180167,https://clinicaltrials.gov/study/NCT00487448
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLD2	DNA polymerase delta 2, accessory subunit	4	Completed	https://clinicaltrials.gov/study/NCT00180167,https://clinicaltrials.gov/study/NCT00180102,https://clinicaltrials.gov/study/NCT00488709,https://clinicaltrials.gov/study/NCT00464217,https://clinicaltrials.gov/study/NCT00180115,https://clinicaltrials.gov/study/NCT00487448
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		PRIM2	DNA primase subunit 2	4	Completed	https://clinicaltrials.gov/study/NCT00180102,https://clinicaltrials.gov/study/NCT00180115,https://clinicaltrials.gov/study/NCT00488709,https://clinicaltrials.gov/study/NCT00180167,https://clinicaltrials.gov/study/NCT00464217,https://clinicaltrials.gov/study/NCT00487448
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLE2	DNA polymerase epsilon 2, accessory subunit	4	Terminated	https://clinicaltrials.gov/study/NCT03988205
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLA1	DNA polymerase alpha 1, catalytic subunit	4	Terminated	https://clinicaltrials.gov/study/NCT03988205
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLE3	DNA polymerase epsilon 3, accessory subunit	4	Terminated	https://clinicaltrials.gov/study/NCT03988205
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLD4	DNA polymerase delta 4, accessory subunit	4	Terminated	https://clinicaltrials.gov/study/NCT03988205
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLE	DNA polymerase epsilon, catalytic subunit	4	Terminated	https://clinicaltrials.gov/study/NCT03988205
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		PRIM1	DNA primase subunit 1	4	Terminated	https://clinicaltrials.gov/study/NCT03988205
